Receipt Item Detail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabang : All Branch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alamat : -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Staff : All Staff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode : 01/01/2025 - 31/01/2025 00:00 - 23:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No. Receipt;Reff No.;Transaction Date;Store;Order Type;Cashier;Customer;Payment Type;Type;Repayment Date;Table No.;Settlement No.;Item Name;Category;Sub Category;Modifier;Qty;Unit Price;Item Sales;Discount Item;Discount Bill;Amount Redeem;Net Sales;Service Persen;Service;Delivery;Tax Persen;Tax;Comm Fee;Gratuity;Rounding;DP Pemesanan;Total;Company Name;Telepon;Telepon WA;Email;Alamat;No. Rekening;Nama Pemilik Rekening;Bill Counter
0010100011;121690010104012519440300011;2025-01-04 19:44:55;NEO STATION;DINE IN;DHIKA;alifa;cash;Sale;;tamu 13;25-0008;CHOCOLATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100011;121690010104012519440300011;2025-01-04 19:44:55;NEO STATION;DINE IN;DHIKA;alifa;cash;Sale;;tamu 13;25-0008;GYOZA;LIGHT MEALS;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100012;121690010104012519512900012;2025-01-04 19:51:29;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0008;Baileys Coffee;Coffee Signature;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100013;121690010104012520041500013;2025-01-04 20:04:15;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0008;MINERAL WATER;ADDITIONIONAL BAR;;;2; 3.000 ; 6.000 ; 0 ; 0 ; 0 ; 6.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 6.000 ;Neo Station;;;;;;;-
0010100014;121690010104012520185700014;2025-01-04 20:18:57;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0008;Baileys Coffee;Coffee Signature;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100015;121690010104012520242700015;2025-01-04 20:24:27;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0008;Salted Creamy Coffee;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100015;121690010104012520242700015;2025-01-04 20:24:27;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0008;EJ PEACE FRIED RICE;TEPPANYAKI FRIED RICE;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100016;121690010104012520374600016;2025-01-04 20:37:46;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0008;EJ PEACE FRIED RICE;TEPPANYAKI FRIED RICE;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100018;121690010104012521190800018;2025-01-04 21:19:08;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0008;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100018;121690010104012521190800018;2025-01-04 21:19:08;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0008;MIX PLATTER;LIGHT MEALS;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100019;121690010104012521254500019;2025-01-04 21:25:45;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0008;Baileys Coffee;Coffee Signature;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100019;121690010104012521254500019;2025-01-04 21:25:45;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0008;TARO LATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100019;121690010104012521254500019;2025-01-04 21:25:45;NEO STATION;DINE IN;DHIKA;;QR MANDIRI;Sale;;;25-0008;HOT TOFU CRISPY;LIGHT MEALS;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100017;121690010104012520415400017;2025-01-04 21:42:02;NEO STATION;DINE IN;DHIKA;om yogi;QR MANDIRI;Sale;;meja 1;25-0008;CHICKEN KOREAN SPICY;MAIN COURSE ASIAN;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100017;121690010104012520415400017;2025-01-04 21:42:02;NEO STATION;DINE IN;DHIKA;om yogi;QR MANDIRI;Sale;;meja 1;25-0008;AMERICANO;COFFEE;;;1; 24.000 ; 24.000 ; 0 ; 0 ; 0 ; 24.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 24.000 ;Neo Station;;;;;;;-
0010100020;121690010104012522070900020;2025-01-04 22:07:09;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0008;Baileys Coffee;Coffee Signature;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100020;121690010104012522070900020;2025-01-04 22:07:09;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0008;HOT TOFU CRISPY;LIGHT MEALS;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100021;121690010104012522193200021;2025-01-04 22:19:32;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0008;AMERICANO;COFFEE;;;1; 24.000 ; 24.000 ; 0 ; 0 ; 0 ; 24.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 24.000 ;Neo Station;;;;;;;-
0010100021;121690010104012522193200021;2025-01-04 22:19:32;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0008;Lemon;ADDITIONIONAL BAR;;;1; 5.000 ; 5.000 ; 0 ; 0 ; 0 ; 5.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5.000 ;Neo Station;;;;;;;-
0010100001;121690010104012517521600001;2025-01-04 22:44:26;NEO STATION;DINE IN;DHIKA;kiki;debit;Sale;;tamu 9;25-0008;CAPPUCCINO;COFFEE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100001;121690010104012517521600001;2025-01-04 22:44:26;NEO STATION;DINE IN;DHIKA;kiki;debit;Sale;;tamu 9;25-0008;Big Mix Platter;LIGHT MEALS;;;2; 90.000 ; 180.000 ; 0 ; 0 ; 0 ; 180.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 180.000 ;Neo Station;;;;;;;-
0010100001;121690010104012517521600001;2025-01-04 22:44:26;NEO STATION;DINE IN;DHIKA;kiki;debit;Sale;;tamu 9;25-0008;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;3; 25.000 ; 75.000 ; 0 ; 0 ; 0 ; 75.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 75.000 ;Neo Station;;;;;;;-
0010100001;121690010104012517521600001;2025-01-04 22:44:26;NEO STATION;DINE IN;DHIKA;kiki;debit;Sale;;tamu 9;25-0008;CAPPUCCINO;COFFEE;;;2; 28.000 ; 56.000 ; 0 ; 0 ; 0 ; 56.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 56.000 ;Neo Station;;;;;;;-
0010100001;121690010104012517521600001;2025-01-04 22:44:26;NEO STATION;DINE IN;DHIKA;kiki;debit;Sale;;tamu 9;25-0008;EJ PEACE FRIED RICE;TEPPANYAKI FRIED RICE;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100001;121690010104012517521600001;2025-01-04 22:44:26;NEO STATION;DINE IN;DHIKA;kiki;debit;Sale;;tamu 9;25-0008;SOTO BANDUNG;NUSANTARA;;;2; 35.000 ; 70.000 ; 0 ; 0 ; 0 ; 70.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 70.000 ;Neo Station;;;;;;;-
0010100001;121690010104012517521600001;2025-01-04 22:44:26;NEO STATION;DINE IN;DHIKA;kiki;debit;Sale;;tamu 9;25-0008;Salted Creamy Coffee;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100001;121690010104012517521600001;2025-01-04 22:44:26;NEO STATION;DINE IN;DHIKA;kiki;debit;Sale;;tamu 9;25-0008;LYCHEE TEA;TEA;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100001;121690010104012517521600001;2025-01-04 22:44:26;NEO STATION;DINE IN;DHIKA;kiki;debit;Sale;;tamu 9;25-0008;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100022;121690010104012523372500022;2025-01-04 23:37:25;NEO STATION;DINE IN;DHIKA;;cash;Sale;;;25-0008;Baileys Creamy;Coffee Signature;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100001;121690010105012510581500001;2025-01-05 10:58:15;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0009;CAFFE LATTE;COFFEE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100002;121690010105012511253300002;2025-01-05 11:25:33;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0009;LYCHEE TEA;TEA;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100002;121690010105012511253300002;2025-01-05 11:25:33;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0009;CAFFE LATTE;COFFEE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100003;121690010105012511435200003;2025-01-05 11:43:52;NEO STATION;DINE IN;OCES;luna;QR MANDIRI;Sale;;;25-0009;Painting Bundling;Bundling Package;;;4; 35.000 ; 140.000 ; 0 ; 0 ; 0 ; 140.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 140.000 ;Neo Station;;;;;;;-
0010100005;121690010105012513052000005;2025-01-05 13:05:20;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0009;MARIE ISLAND;NON COFFEE;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100005;121690010105012513052000005;2025-01-05 13:05:20;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0009;SPAGHETTI CARBONARA;PASTA;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100006;121690010105012513075100006;2025-01-05 13:07:51;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0009;ROTI BAKAR;SWEET BITES;;chocolatte 1X;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100006;121690010105012513075100006;2025-01-05 13:07:51;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0009;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100007;121690010105012513184600007;2025-01-05 13:18:46;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0009;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;2; 25.000 ; 50.000 ; 0 ; 0 ; 0 ; 50.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 50.000 ;Neo Station;;;;;;;-
0010100003V;121690010105012511435200003V;2025-01-05 13:34:24;NEO STATION;DINE IN;OCES;luna;QR MANDIRI;Void Item;;;25-0009;Painting Bundling;Bundling Package;;;-2; 35.000 ; (70.000); 0 ; 0 ; 0 ; (70.000); 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; (70.000);Neo Station;;;;;;;-
0010100009;121690010105012514045000009;2025-01-05 14:04:50;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0009;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100010;121690010105012514500200010;2025-01-05 14:50:02;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0009;CAFFE LATTE;COFFEE;;Flavor Vanilla 1X;1; 33.000 ; 33.000 ; 0 ; 0 ; 0 ; 33.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 33.000 ;Neo Station;;;;;;;-
0010100010;121690010105012514500200010;2025-01-05 14:50:02;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0009;HOT TOFU CRISPY;LIGHT MEALS;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100010;121690010105012514500200010;2025-01-05 14:50:02;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0009;CHICKEN SPICY WINGS;LIGHT MEALS;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100010;121690010105012514500200010;2025-01-05 14:50:02;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0009;CHINESE FRIED RICE;TEPPANYAKI FRIED RICE;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100010;121690010105012514500200010;2025-01-05 14:50:02;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0009;poetry sunset;SPARKLING SERIES;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100011;121690010105012515104200011;2025-01-05 15:10:42;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0009;CAFFE LATTE;COFFEE;;Flavor Vanilla 1X;1; 33.000 ; 33.000 ; 0 ; 0 ; 0 ; 33.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 33.000 ;Neo Station;;;;;;;-
0010100004;121690010105012512520000004;2025-01-05 15:17:06;NEO STATION;DINE IN;OCES;hendi;cash;Sale;;tamu 5;25-0009;LEMON TEA;TEA;;;1; 20.000 ; 20.000 ; 0 ; 0 ; 0 ; 20.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 20.000 ;Neo Station;;;;;;;-
0010100004;121690010105012512520000004;2025-01-05 15:17:06;NEO STATION;DINE IN;OCES;hendi;cash;Sale;;tamu 5;25-0009;BEEF YAKINIKU;MAIN COURSE ASIAN;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100004;121690010105012512520000004;2025-01-05 15:17:06;NEO STATION;DINE IN;OCES;hendi;cash;Sale;;tamu 5;25-0009;AMERICANO;COFFEE;;;1; 24.000 ; 24.000 ; 0 ; 0 ; 0 ; 24.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 24.000 ;Neo Station;;;;;;;-
0010100004;121690010105012512520000004;2025-01-05 15:17:06;NEO STATION;DINE IN;OCES;hendi;cash;Sale;;tamu 5;25-0009;CHINESE FRIED RICE;TEPPANYAKI FRIED RICE;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100004;121690010105012512520000004;2025-01-05 15:17:06;NEO STATION;DINE IN;OCES;hendi;cash;Sale;;tamu 5;25-0009;HOT ESPRESSOO;COFFEE;;;1; 18.000 ; 18.000 ; 0 ; 0 ; 0 ; 18.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 18.000 ;Neo Station;;;;;;;-
0010100004;121690010105012512520000004;2025-01-05 15:17:06;NEO STATION;DINE IN;OCES;hendi;cash;Sale;;tamu 5;25-0009;CHOCOLATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100001;121690010105012515204800001;2025-01-05 15:20:48;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0010;CHOCOLATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100002;121690010105012515252700002;2025-01-05 15:25:27;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0010;CAFFE LATTE;COFFEE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100003;121690010105012515370300003;2025-01-05 15:37:03;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0010;RED VELVET LATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100008;121690010105012514033000008;2025-01-05 15:54:34;NEO STATION;DINE IN;OCES;omen;QR MANDIRI;Sale;;tamu 6;25-0010;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;2; 25.000 ; 50.000 ; 0 ; 0 ; 0 ; 50.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 50.000 ;Neo Station;;;;;;;-
0010100008;121690010105012514033000008;2025-01-05 15:54:34;NEO STATION;DINE IN;OCES;omen;QR MANDIRI;Sale;;tamu 6;25-0010;RED VELVET LATTE;NON COFFEE;;;1; 26.000 ; 26.000 ; 0 ; 0 ; 0 ; 26.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 26.000 ;Neo Station;;;;;;;-
0010100008;121690010105012514033000008;2025-01-05 15:54:34;NEO STATION;DINE IN;OCES;omen;QR MANDIRI;Sale;;tamu 6;25-0010;Sweet Ice Tea;TEA;;;1; 18.000 ; 18.000 ; 0 ; 0 ; 0 ; 18.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 18.000 ;Neo Station;;;;;;;-
0010100008;121690010105012514033000008;2025-01-05 15:54:34;NEO STATION;DINE IN;OCES;omen;QR MANDIRI;Sale;;tamu 6;25-0010;EJ PEACE FRIED RICE;TEPPANYAKI FRIED RICE;;;1; 30.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100008;121690010105012514033000008;2025-01-05 15:54:34;NEO STATION;DINE IN;OCES;omen;QR MANDIRI;Sale;;tamu 6;25-0010;ONION RINGS;LIGHT MEALS;;;1; 20.000 ; 20.000 ; 0 ; 0 ; 0 ; 20.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 20.000 ;Neo Station;;;;;;;-
0010100008;121690010105012514033000008;2025-01-05 15:54:34;NEO STATION;DINE IN;OCES;omen;QR MANDIRI;Sale;;tamu 6;25-0010;CHICKEN SPICY WINGS;LIGHT MEALS;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100008;121690010105012514033000008;2025-01-05 15:54:34;NEO STATION;DINE IN;OCES;omen;QR MANDIRI;Sale;;tamu 6;25-0010;BLACK TEA;TEA;;;2; 15.000 ; 30.000 ; 0 ; 0 ; 0 ; 30.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 30.000 ;Neo Station;;;;;;;-
0010100004;121690010105012516263200004;2025-01-05 16:26:32;NEO STATION;DINE IN;OCES;fira;QR MANDIRI;Sale;;;25-0010;Painting Bundling;Bundling Package;;;1; 35.000 ; 35.000 ; 0 ; 0 ; 0 ; 35.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 35.000 ;Neo Station;;;;;;;-
0010100006;121690010105012516411400006;2025-01-05 16:41:14;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0010;BLACK TEA;TEA;;;1; 15.000 ; 15.000 ; 0 ; 0 ; 0 ; 15.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 15.000 ;Neo Station;;;;;;;-
0010100006;121690010105012516411400006;2025-01-05 16:41:14;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0010;GYOZA;LIGHT MEALS;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100007;121690010105012516465600007;2025-01-05 16:46:56;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0010;MINERAL WATER;ADDITIONIONAL BAR;;;1; 3.000 ; 3.000 ; 0 ; 0 ; 0 ; 3.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 3.000 ;Neo Station;;;;;;;-
0010100008;121690010105012517170200008;2025-01-05 17:17:02;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0010;CHICKEN KARAAGE;LIGHT MEALS;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100008;121690010105012517170200008;2025-01-05 17:17:02;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0010;MIX PLATTER;LIGHT MEALS;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100008;121690010105012517170200008;2025-01-05 17:17:02;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0010;HOT TOFU CRISPY;LIGHT MEALS;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
