Receipt Item Detail;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cabang : All Branch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alamat : -;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Staff : All Staff;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode : 01/01/2025 - 31/01/2025 00:00 - 23:59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No. Receipt;Reff No.;Transaction Date;Store;Order Type;Cashier;Customer;Payment Type;Type;Repayment Date;Table No.;Settlement No.;Item Name;Category;Sub Category;Modifier;Qty;Unit Price;Item Sales;Discount Item;Discount Bill;Amount Redeem;Net Sales;Service Persen;Service;Delivery;Tax Persen;Tax;Comm Fee;Gratuity;Rounding;DP Pemesanan;Total;Company Name;Telepon;Telepon WA;Email;Alamat;No. Rekening;Nama Pemilik Rekening;Bill Counter
0010100002;121690010102012512433100002;2025-01-02 12:43:31;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0003;TELOR;Additional Kitchen;;;1; 5.000 ; 5.000 ; 0 ; 0 ; 0 ; 5.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5.000 ;Neo Station;;;;;;;-
0010100003;121690010102012512472800003;2025-01-02 12:47:28;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0003;EJ PEACE COFFEE SIGNATURE;Coffee Signature;;;1; 25.000 ; 25.000 ; 0 ; 0 ; 0 ; 25.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 25.000 ;Neo Station;;;;;;;-
0010100004;121690010102012512593700004;2025-01-02 12:59:37;NEO STATION;DINE IN;OCES;;cash;Sale;;;25-0003;TELOR;Additional Kitchen;;;1; 5.000 ; 5.000 ; 0 ; 0 ; 0 ; 5.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5.000 ;Neo Station;;;;;;;-
0010100005;121690010102012513404200005;2025-01-02 13:40:42;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0003;PEACH TEA;TEA;;;1; 23.000 ; 23.000 ; 0 ; 0 ; 0 ; 23.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 23.000 ;Neo Station;;;;;;;-
0010100006;121690010102012514273900006;2025-01-02 14:27:39;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0003;HOT ESPRESSOO;COFFEE;;;1; 18.000 ; 18.000 ; 0 ; 0 ; 0 ; 18.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 18.000 ;Neo Station;;;;;;;-
0010100030;121690010109122421082100030;2025-01-02 14:37:45;NEO STATION;DINE IN;OCES;mangsur;QR MANDIRI;Sale;;80;25-0003;CAFFE LATTE;COFFEE;;;1; 28.000 ; 28.000 ; 0 ; 0 ; 0 ; 28.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 28.000 ;Neo Station;;;;;;;-
0010100030;121690010109122421082100030;2025-01-02 14:37:45;NEO STATION;DINE IN;OCES;mangsur;QR MANDIRI;Sale;;80;25-0003;NASI BANGSAWAN;MAIN COURSE ASIAN;;;10; 20.000 ; 200.000 ; 0 ; 0 ; 0 ; 200.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 200.000 ;Neo Station;;;;;;;-
0010100030;121690010109122421082100030;2025-01-02 14:37:45;NEO STATION;DINE IN;OCES;mangsur;QR MANDIRI;Sale;;80;25-0003;TELOR;Additional Kitchen;;;1; 5.000 ; 5.000 ; 0 ; 0 ; 0 ; 5.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5.000 ;Neo Station;;;;;;;-
0010100030;121690010109122421082100030;2025-01-02 14:37:45;NEO STATION;DINE IN;OCES;mangsur;QR MANDIRI;Sale;;80;25-0003;NASI PUTIH;Additional Kitchen;;;1; 5.000 ; 5.000 ; 0 ; 0 ; 0 ; 5.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 5.000 ;Neo Station;;;;;;;-
0010100002;121690010102012515055400002;2025-01-02 15:05:54;NEO STATION;DINE IN;OCES;;QR MANDIRI;Sale;;;25-0004;BEEF DONBURI;MAIN COURSE ASIAN;;;1; 37.000 ; 37.000 ; 0 ; 0 ; 0 ; 37.000 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 0 ; 37.000 ;Neo Station;;;;;;;-
